"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4117","Malik","Monk","Malik Monk","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=10","/betting/nba/player/malik-monk-odds-4117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"2.3","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","3300","0.0",33,NA,"660.00",2026-01-18
"Sixth Man","6277","Jaylon","Tyson","Jaylon Tyson","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/jaylon-tyson-odds-6277","3000","0.0",30,"2.3","600.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"3300","0.0",33,"2.3","660.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","3300","0.0",33,NA,"660.00",2026-01-18
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","3000","0.0",30,"2.3","600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"2700","0.0",27,"2.8","540.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2026-01-18
"Sixth Man","5428","Santi","Aldama","Santi Aldama","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/santi-aldama-odds-5428","3500","0.0",35,"2.0","700.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"2500","0.0",25,"3.7","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","5000","0.0",50,NA,"1,000.00",2026-01-18
"Sixth Man","5118","Onyeka","Okongwu","Onyeka Okongwu","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/onyeka-okongwu-odds-5118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.9","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","5000","0.0",50,NA,"1,000.00",2026-01-18
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","6500","0.0",65,"1.1","1,300.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6000","0.0",60,"1.6","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","6500","0.0",65,NA,"1,300.00",2026-01-18
"Sixth Man","4776","De'Andre","Hunter","De'Andre Hunter","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/deandre-hunter-odds-4776","4500","0.0",45,"1.6","900.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"3000","0.0",30,"3.1","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","8000","0.0",80,NA,"1,600.00",2026-01-18
"Sixth Man","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/dylan-harper-odds-6549","3500","0.0",35,"2.0","700.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"3000","0.0",30,"3.1","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-01-18
"Sixth Man","5341","Sandro","Mamukelashvili","Sandro Mamukelashvili","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=10","/betting/nba/player/sandro-mamukelashvili-odds-5341","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-01-18
"Sixth Man","5402","Miles","McBride","Miles McBride","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=10","/betting/nba/player/miles-mcbride-odds-5402","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"6600","0.0",66,"1.4","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","10000","0.0",100,NA,"2,000.00",2026-01-18
"Sixth Man","3705","Bobby","Portis","Bobby Portis","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/bobby-portis-odds-3705","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"1.0","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2026-01-18
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/jerami-grant-odds-3588",NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6600","0.0",66,"1.4","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","15000","0.0",150,NA,"3,000.00",2026-01-18
"Sixth Man","6267","Tristan","da Silva","Tristan da Silva","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/tristan-da-silva-odds-6267","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"1.0","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","15000","0.0",150,NA,"3,000.00",2026-01-18
"Sixth Man","3614","Jordan","Clarkson","Jordan Clarkson","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=10","/betting/nba/player/jordan-clarkson-odds-3614","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"10000","0.0",100,"1.0","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/ayo-dosunmu-odds-5337","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","5291","Isaiah","Joe","Isaiah Joe","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/isaiah-joe-odds-5291","20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","5694","Jake","LaRavia","Jake LaRavia","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/jake-laravia-odds-5694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","6266","Jared","McCain","Jared McCain","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/jared-mccain-odds-6266","20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"1.0","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","5254","Sam","Merrill","Sam Merrill","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/sam-merrill-odds-5254","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","5889","Brandin","Podziemski","Brandin Podziemski","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=10","/betting/nba/player/brandin-podziemski-odds-5889","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","4791","Jordan","Poole","Jordan Poole","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=10","/betting/nba/player/jordan-poole-odds-4791","20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","6275","Kel'el","Ware","Kel'el Ware","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/kelel-ware-odds-6275","7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","5412","Aaron","Wiggins","Aaron Wiggins","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/aaron-wiggins-odds-5412","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"10000","0.0",100,"1.0","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","20000","0.0",200,NA,"4,000.00",2026-01-18
"Sixth Man","3952","Alex","Caruso","Alex Caruso","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/alex-caruso-odds-3952","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8000","0.0",80,"1.2","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","30000","0.0",300,NA,"6,000.00",2026-01-18
"Sixth Man","3197","Klay","Thompson","Klay Thompson","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=10","/betting/nba/player/klay-thompson-odds-3197",NA,NA,NA,NA,NA,NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","30000","0.0",300,NA,"6,000.00",2026-01-18
"Sixth Man","5232","Cole","Anthony","Cole Anthony","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/cole-anthony-odds-5232","40000","0.0",400,"0.2","8,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","40000","0.0",400,NA,"8,000.00",2026-01-18
"Sixth Man","4412","Collin","Sexton","Collin Sexton","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/collin-sexton-odds-4412","20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,"8000","0.0",80,"1.2","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","40000","0.0",400,NA,"8,000.00",2026-01-18
"Sixth Man","4403","Bruce","Brown","Bruce Brown","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/bruce-brown-odds-4403","50000","0.0",500,"0.1","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"1.0","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2026-01-18
"Sixth Man","6296","Jamal","Shead","Jamal Shead","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=10","/betting/nba/player/jamal-shead-odds-6296","35000","0.0",350,"0.2","7,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-01-18
