"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/jerami-grant-odds-3588","5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"3.0","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2026-02-14
"Sixth Man","5204","Naji","Marshall","Naji Marshall","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=10","/betting/nba/player/naji-marshall-odds-5204",NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2026-02-14
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/quentin-grimes-odds-5391","6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2026-02-14
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00",2026-02-14
"Sixth Man","5428","Santi","Aldama","Santi Aldama","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/santi-aldama-odds-5428","7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"2.4","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","7500","0.0",75,NA,"1,500.00",2026-02-14
"Sixth Man","5360","Cam","Thomas","Cam Thomas","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/cam-thomas-odds-5360","7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","7500","0.0",75,NA,"1,500.00",2026-02-14
"Sixth Man","4776","De'Andre","Hunter","De'Andre Hunter","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=10","/betting/nba/player/deandre-hunter-odds-4776","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","10000","0.0",100,NA,"2,000.00",2026-02-14
"Sixth Man","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/dylan-harper-odds-6549","20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2026-02-14
"Sixth Man","3705","Bobby","Portis","Bobby Portis","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/bobby-portis-odds-3705","20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2026-02-14
"Sixth Man","5694","Jake","LaRavia","Jake LaRavia","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/jake-laravia-odds-5694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-02-14
